Map_ID,Size,NumWumpus,PitProb,Moving,Hybrid_Success,Hybrid_Score,Hybrid_Decision_Eff,Hybrid_Time_ms,Random_Success,Random_Score,Random_Decision_Eff,Random_Time_ms
139,8,2,0.1,True,0,-1015,15,24.517059,0,-14,12,0.179768
140,8,2,0.1,True,1,979,33,118.226767,0,0,1,0.026226
141,8,2,0.1,True,0,-1002,2,1.006365,0,0,1,0.021696
142,8,2,0.1,True,0,-1019,19,43.991089,0,-1040,55,0.815392
143,8,2,0.1,True,0,-1015,15,30.080557,0,-12,6,0.103712
144,8,2,0.1,True,1,983,29,274.806499,0,-1,2,0.040293
145,8,2,0.1,True,0,-1002,2,1.18804,0,-16,9,0.149012
146,8,2,0.1,True,1,981,31,313.616037,0,-15,13,0.199556
147,8,2,0.1,True,0,-1051,62,1463.459253,0,-10,3,0.067234
148,8,2,0.1,True,0,-1023,23,29.153109,0,-1,5,0.094414
